WN,WP,VM
1.613601,5.1803999999999996e-06,0.9046028225349309
1.613601,5.1996e-06,0.9051070148836124
1.613601,5.2188e-06,0.9056079653836576
1.613601,5.2380000000000005e-06,0.9061084134734608
1.613601,5.2572e-06,0.9066056437485578
1.613601,5.276399999999999e-06,0.9071024299065428
1.613601,5.2956e-06,0.9075959564442763
1.613601,5.3147999999999995e-06,0.908089158534556
1.613601,5.333999999999999e-06,0.9085789965805873
1.613601,5.3532e-06,0.9090686982078344
1.613601,5.3724e-06,0.9095548562327714
1.613601,5.3916e-06,0.9100411321669352
1.613601,5.4108e-06,0.9105236350691259
1.613601,5.43e-06,0.9110065626681018
1.613601,5.4492e-06,0.9114854212513563
1.613601,5.4684e-06,0.9119647456033706
1.613601,5.487599999999999e-06,0.9124403093737928
1.613601,5.5067999999999995e-06,0.9129159779925174
1.613601,5.525999999999999e-06,0.9133883960024599
1.613601,5.5452e-06,0.9138604147043852
1.613601,5.5644e-06,0.9143297695968176
1.613601,5.583599999999999e-06,0.9147981596472289
1.613601,5.6028e-06,0.9152645261443764
1.613601,5.622e-06,0.9157292983472826
1.613601,5.6412e-06,0.9161927538109048
1.613601,5.6604e-06,0.9166539303268403
1.613601,5.6796e-06,0.9171145487783134
1.613601,5.6988e-06,0.9175721442033501
1.613601,5.717999999999999e-06,0.918030002804001
1.613601,5.737199999999999e-06,0.9184840364447192
1.613601,5.7564e-06,0.918938579602828
1.613601,5.775599999999999e-06,0.919389696634526
1.613601,5.7948e-06,0.9198406399484035
1.613601,5.814e-06,0.9202892161008468
1.613601,5.8331999999999995e-06,0.9207365816810005
1.613601,5.8524e-06,0.9211826852172684
1.613601,5.8716e-06,0.9216264964584566
1.613601,5.8907999999999996e-06,0.9220701914594635
1.613601,5.91e-06,0.9225104792084855
1.613601,5.9292e-06,0.9229513164364586
1.613601,5.9484e-06,0.9233886155321877
1.613601,5.967599999999999e-06,0.9238258752174113
1.613601,5.986799999999999e-06,0.9242609947806367
1.613601,6.006e-06,0.9246947095384923
1.613601,6.0251999999999995e-06,0.9251277014273533
1.613601,6.0444e-06,0.9255579088459958
1.613601,6.0636e-06,0.9259887040405128
1.613601,6.0828e-06,0.9264155557818408
1.613601,6.102e-06,0.9268427860032908
1.613601,6.1212e-06,0.9272677386162407
1.613601,6.1404e-06,0.9276914436487003
1.613601,6.1596e-06,0.9281145473606321
1.613601,6.178799999999999e-06,0.9285347638991476
1.613601,6.198e-06,0.9289555636496092
1.613601,6.2171999999999995e-06,0.9293728211777996
1.613601,6.236399999999999e-06,0.9297900846872073
1.613601,6.2556e-06,0.930205710038091
1.613601,6.2748e-06,0.9306194739120073
1.613601,6.293999999999999e-06,0.9310335014693634
1.613601,6.3132e-06,0.9314438166869973
1.613601,6.3324e-06,0.9318546707293889
1.613601,6.3516e-06,0.9322631948682606
1.613601,6.3708e-06,0.9326705449254923
1.613601,6.39e-06,0.9330776756830118
1.613601,6.4091999999999996e-06,0.9334815824056053
1.613601,6.428399999999999e-06,0.9338860536560827
1.613601,6.4476e-06,0.9342878567485395
1.613601,6.4668e-06,0.9346888314019488
1.613601,6.485999999999999e-06,0.9350894388127242
1.613601,6.5052e-06,0.9354869764260163
1.613601,6.5244e-06,0.9358850854130617
1.613601,6.5435999999999995e-06,0.9362805620506551
1.613601,6.5628e-06,0.9366751805917624
1.613601,6.582e-06,0.9370696491189866
1.613601,6.6012000000000004e-06,0.9374608535166677
1.613601,6.6204e-06,0.9378526115142046
1.613601,6.639599999999999e-06,0.9382421606356048
1.613601,6.6588e-06,0.9386304526676943
1.613601,6.677999999999999e-06,0.9390191704668845
1.613601,6.697199999999999e-06,0.9394040707053978
1.613601,6.7164e-06,0.939789498342697
1.613601,6.7355999999999995e-06,0.9401735163784871
1.613601,6.7548e-06,0.9405555090272242
1.613601,6.774e-06,0.9409381119478513
